"dates","ANET.Open","ANET.High","ANET.Low","ANET.Close","ANET.Volume","ANET.Adjusted"
"2014-06-06",55.25,60,55,55,7255100,55
"2014-06-09",56.25,57,55,55.200001,716900,55.200001
"2014-06-10",55.25,60,55.25,60,986800,60
"2014-06-11",60,63.5,58.66,63.5,660500,63.5
"2014-06-12",63.650002,67.830002,63.07,66,729300,66
"2014-06-13",68.470001,72,67,69.580002,1065700,69.580002
"2014-06-16",71.220001,71.5,67.635002,71.5,417000,71.5
"2014-06-17",71.889999,72.629997,69,69.709999,278600,69.709999
"2014-06-18",70.07,71,67.879997,68.959999,208800,68.959999
"2014-06-19",68.029999,68.809998,64.510002,65.669998,651600,65.669998
"2014-06-20",65.050003,68.5,64.5,65.150002,294000,65.150002
"2014-06-23",65.019997,67.489998,65.019997,65.709999,116500,65.709999
"2014-06-24",66.349998,66.75,63.869999,64.279999,192800,64.279999
"2014-06-25",63.810001,65.358002,62,64.489998,186200,64.489998
"2014-06-26",64.809998,64.809998,62.5,63.810001,97100,63.810001
"2014-06-27",63.91,63.91,62.25,62.549999,244700,62.549999
"2014-06-30",62.07,65.199997,62.07,62.389999,232000,62.389999
"2014-07-01",66.970001,76.830002,66.099998,76,1658200,76
"2014-07-02",78.739998,80.529999,73.199997,75.349998,1126500,75.349998
"2014-07-03",76.440002,77.626999,74.099998,76.410004,243900,76.410004
"2014-07-07",75.160004,77.290001,72.029999,72.169998,316600,72.169998
"2014-07-08",71.93,72.050003,63.139999,69.43,1178700,69.43
"2014-07-09",69.300003,72.900002,66.010002,71.900002,372000,71.900002
"2014-07-10",67.519997,70.139999,67.124001,67.739998,296800,67.739998
"2014-07-11",68.800003,70.5,68.349998,69.629997,191700,69.629997
"2014-07-14",71.400002,72,68.529999,68.949997,131000,68.949997
"2014-07-15",69.449997,70.559998,66,66.690002,226100,66.690002
"2014-07-16",67.07,68,63.610001,64.529999,247700,64.529999
"2014-07-17",63.889999,65.620003,63.110001,63.759998,130200,63.759998
"2014-07-18",64.029999,64.900002,63.349998,64,123700,64
"2014-07-21",64.129997,64.730003,63.009998,63.23,143700,63.23
"2014-07-22",63.759998,66.959999,63.459999,65.510002,235900,65.510002
"2014-07-23",65.889999,66.68,64.400002,64.82,147900,64.82
"2014-07-24",65.110001,66.160004,63.77,64.25,182600,64.25
"2014-07-25",64.150002,64.779999,62.509998,63.639999,115600,63.639999
"2014-07-28",64.519997,64.543999,63.029999,63.41,67400,63.41
"2014-07-29",63.59,64.050003,63.150002,63.849998,106400,63.849998
"2014-07-30",64.480003,67.900002,63.970001,67.790001,608100,67.790001
"2014-07-31",66.339996,67,65.110001,66.120003,257700,66.120003
"2014-08-01",65.82,67.5,65.25,65.610001,193700,65.610001
"2014-08-04",65.989998,69.5,65.68,69.230003,255600,69.230003
"2014-08-05",68.830002,73,68.019997,72.089996,402400,72.089996
"2014-08-06",71.379997,72.5,69.529999,70.82,225600,70.82
"2014-08-07",71.769997,72.660004,71.183998,72.220001,412600,72.220001
"2014-08-08",79.25,79.879997,71.5,72.029999,1426400,72.029999
"2014-08-11",72.690002,73.400002,67.309998,69.860001,740100,69.860001
"2014-08-12",69.480003,71.685997,69.480003,71.110001,223000,71.110001
"2014-08-13",71.139999,71.970001,69.337997,69.839996,273500,69.839996
"2014-08-14",69.730003,71.699997,68.800003,70.809998,266600,70.809998
"2014-08-15",71.419998,71.419998,69.379997,69.82,141600,69.82
"2014-08-18",70.849998,71.370003,69.25,70.510002,175900,70.510002
"2014-08-19",70.739998,75.18,70.165001,75,478100,75
"2014-08-20",74.330002,77.268997,72.901001,76.400002,395900,76.400002
"2014-08-21",75.879997,78.389999,75.330002,77.349998,435300,77.349998
"2014-08-22",76.489998,76.959999,75.25,75.620003,177600,75.620003
"2014-08-25",76.050003,77.440002,74.809998,75.580002,177400,75.580002
"2014-08-26",75.440002,76.769997,74.665001,76.169998,162700,76.169998
"2014-08-27",75.989998,83.470001,75.970001,83.160004,724200,83.160004
"2014-08-28",82.959999,83.889999,81.57,83.449997,343300,83.449997
"2014-08-29",84.889999,85.789001,82.739998,83.849998,330500,83.849998
"2014-09-02",85.139999,86.68,84.230003,86.099998,329600,86.099998
"2014-09-03",87.160004,87.559998,84.910004,85.610001,335300,85.610001
"2014-09-04",85.410004,89.300003,85.190002,87.489998,322700,87.489998
"2014-09-05",87.419998,91.330002,86.129997,91.120003,234800,91.120003
"2014-09-08",91.150002,93.940002,85.690002,87.660004,740400,87.660004
"2014-09-09",88,88.882004,83.779999,84.279999,339900,84.279999
"2014-09-10",84.989998,88.839996,83.139999,88.75,330800,88.75
"2014-09-11",88.099998,90.889999,87.639999,88.75,180100,88.75
"2014-09-12",88.889999,89.410004,85,86.269997,195100,86.269997
"2014-09-15",87.32,88.25,82.540001,82.830002,410000,82.830002
"2014-09-16",82.269997,85.339996,80.800003,84,268500,84
"2014-09-17",84.790001,85.940002,83.220001,83.510002,200800,83.510002
"2014-09-18",84.5,86.440002,84.029999,86.129997,235500,86.129997
"2014-09-19",86.940002,87.650002,84.900002,87.650002,522200,87.650002
"2014-09-22",86.889999,88.650002,83.559998,83.839996,454400,83.839996
"2014-09-23",83.440002,86.309998,83.059998,84.470001,294800,84.470001
"2014-09-24",83.199997,87.900002,83.199997,87.110001,280400,87.110001
"2014-09-25",86.709999,88.440002,83.82,84.300003,329500,84.300003
"2014-09-26",84.349998,85.915001,84.339996,85.129997,289600,85.129997
"2014-09-29",84.459999,93.75,84,93.309998,760300,93.309998
"2014-09-30",93.559998,94.839996,86.610001,88.330002,1101300,88.330002
"2014-10-01",88.040001,88.529999,83.120003,84.059998,602800,84.059998
"2014-10-02",84.449997,85.050003,79.620003,84.230003,479400,84.230003
"2014-10-03",85.779999,87.110001,83.470001,85.730003,344700,85.730003
"2014-10-06",85.980003,86.580002,82.809998,84.68,361500,84.68
"2014-10-07",83.129997,84.480003,82.214996,82.809998,450200,82.809998
"2014-10-08",84.330002,88.919998,83.040001,88.440002,592400,88.440002
"2014-10-09",88.440002,90.25,84.654999,85.82,521100,85.82
"2014-10-10",84.629997,86.709999,77.769997,78.129997,1369300,78.129997
"2014-10-13",78.580002,79.620003,73.305,73.690002,604200,73.690002
"2014-10-14",74,75.379997,70.300003,73.519997,696200,73.519997
"2014-10-15",73,75.720001,71,75.050003,604300,75.050003
"2014-10-16",74.489998,76.220001,73.400002,74.57,586700,74.57
"2014-10-17",75.93,77.489998,75.870003,76.720001,648100,76.720001
"2014-10-20",77.419998,79.25,75.419998,76.389999,293000,76.389999
"2014-10-21",78.309998,78.379997,76.809998,77.510002,348300,77.510002
"2014-10-22",78,78.150002,71.68,72.18,498800,72.18
"2014-10-23",73.269997,75.389999,72.260002,73.839996,507000,73.839996
"2014-10-24",73.800003,74.989998,72.75,74.93,279600,74.93
"2014-10-27",74.699997,74.699997,73.099998,73.360001,205300,73.360001
"2014-10-28",73.540001,74.306,72.559998,73.839996,432600,73.839996
"2014-10-29",73.849998,75.599998,72.230003,73.029999,318500,73.029999
"2014-10-30",73.300003,75,73.089996,73.889999,307900,73.889999
"2014-10-31",74.839996,82.931999,74.599998,81.25,647600,81.25
"2014-11-03",84.75,86,81.360001,85.690002,501100,85.690002
"2014-11-04",85.690002,87.209999,82.559998,86.389999,578400,86.389999
"2014-11-05",89.279999,89.889999,82.769997,84.120003,760700,84.120003
"2014-11-06",85.419998,87.300003,83.199997,87.25,722000,87.25
"2014-11-07",78.849998,81.050003,76.5,77.830002,1650800,77.830002
"2014-11-10",78.025002,80.339996,76.610001,76.790001,751000,76.790001
"2014-11-11",74.540001,79.379997,74,78.739998,1486800,78.739998
"2014-11-12",78.739998,79.379997,76.5,77.239998,570900,77.239998
"2014-11-13",77,78.75,76.230003,76.970001,377700,76.970001
"2014-11-14",76.970001,77.739998,76.510002,77.690002,324300,77.690002
"2014-11-17",76.639999,77.150002,75.82,76.699997,371800,76.699997
"2014-11-18",76.699997,77.449997,76.309998,76.800003,316300,76.800003
"2014-11-19",76.199997,77.309998,76.199997,77,381200,77
"2014-11-20",76.370003,76.370003,74.669998,75.18,601000,75.18
"2014-11-21",75.5,76.25,74.050003,74.150002,422300,74.150002
"2014-11-24",74.25,74.690002,72.660004,72.940002,425500,72.940002
"2014-11-25",73.330002,74.805,73,73.739998,422000,73.739998
"2014-11-26",74.900002,77.899002,74.449997,76.150002,528000,76.150002
"2014-11-28",76.68,76.925003,75.559998,75.870003,206800,75.870003
"2014-12-01",74,75.349998,71.349998,71.580002,733700,71.580002
"2014-12-02",71.470001,72.5,67.580002,69.419998,1054700,69.419998
"2014-12-03",69.419998,72.959999,69.209999,72.629997,1082700,72.629997
"2014-12-04",72.699997,74,71.660004,73.529999,335900,73.529999
"2014-12-05",73.25,74.5,67.699997,68.239998,1853000,68.239998
"2014-12-08",67.610001,67.610001,59.16,64.82,2972400,64.82
"2014-12-09",63.599998,66.349998,63.419998,66.190002,751900,66.190002
"2014-12-10",65.980003,66.300003,64.839996,65.169998,632100,65.169998
"2014-12-11",65.5,68.160004,65.5,67.900002,699500,67.900002
"2014-12-12",66.639999,68.708,66,67.949997,636600,67.949997
"2014-12-15",67.18,67.889999,66.940002,67.389999,498300,67.389999
"2014-12-16",67.029999,68.860001,66.559998,68.339996,6e+05,68.339996
"2014-12-17",68.150002,69.400002,66.830002,67.279999,606600,67.279999
"2014-12-18",67.860001,68.300003,66,66.769997,1119800,66.769997
"2014-12-19",67.300003,68.919998,66.300003,66.529999,629500,66.529999
"2014-12-22",66.099998,66.389999,63.610001,65.269997,737700,65.269997
"2014-12-23",65.339996,65.900002,63.450001,64.699997,539500,64.699997
"2014-12-24",64.910004,65.290001,64.410004,65,274400,65
"2014-12-26",65.809998,65.809998,63.889999,65.25,385900,65.25
"2014-12-29",65.220001,65.639999,61.220001,61.57,766800,61.57
"2014-12-30",61.09,62.5,60.290001,60.639999,604800,60.639999
"2014-12-31",60.700001,61.91,60.700001,60.759998,357100,60.759998
"2015-01-02",60.759998,62.875,60.16,62.68,370500,62.68
"2015-01-05",63,64.75,62.049999,63.799999,469100,63.799999
"2015-01-06",64,64.910004,62.209999,63.810001,360600,63.810001
"2015-01-07",64.389999,65.5,63.98,65.139999,410000,65.139999
"2015-01-08",65.709999,66.830002,64.856003,66.120003,474500,66.120003
"2015-01-09",66.029999,66.75,65.639999,66.419998,252800,66.419998
"2015-01-12",66.080002,66.419998,65.400002,66.07,436400,66.07
"2015-01-13",66.07,66.07,64.010002,65.269997,618300,65.269997
"2015-01-14",64.5,65.139999,64,65.059998,350200,65.059998
"2015-01-15",65.550003,65.82,63.014999,63.209999,440500,63.209999
"2015-01-16",62.48,64.800003,62.200001,64.540001,368300,64.540001
"2015-01-20",64.540001,65.669998,63.976002,65.470001,281400,65.470001
"2015-01-21",65.470001,66.220001,64.07,64.279999,253200,64.279999
"2015-01-22",64.080002,64.43,62.75,63.5,377200,63.5
"2015-01-23",63.5,64.690002,62.82,63.41,470500,63.41
"2015-01-26",63.41,64.349998,62.220001,64.349998,311500,64.349998
"2015-01-27",63.889999,64.114998,62.77,63.619999,166200,63.619999
"2015-01-28",64.099998,66.230003,63.709999,65.43,530800,65.43
"2015-01-29",65.809998,66.870003,61.66,63.459999,640900,63.459999
"2015-01-30",62.59,63.43,62.32,63.119999,456800,63.119999
"2015-02-02",62.959999,63.790001,61.5,62.66,412300,62.66
"2015-02-03",62.639999,63.330002,62.529999,62.709999,241600,62.709999
"2015-02-04",61.5,61.973999,59.799999,60.860001,660700,60.860001
"2015-02-05",60.860001,61.958,60.185001,60.5,250600,60.5
"2015-02-06",60.400002,60.439999,56.110001,56.709999,874000,56.709999
"2015-02-09",56.509998,60,56.501999,60,609800,60
"2015-02-10",60,65.949997,59.630001,63.07,1226500,63.07
"2015-02-11",62.560001,62.98,60.630001,61.509998,341000,61.509998
"2015-02-12",61.950001,61.950001,60.080002,60.990002,396800,60.990002
"2015-02-13",60.959999,63.939999,60.875,62.93,319600,62.93
"2015-02-17",63.830002,64.900002,63.400002,63.990002,229100,63.990002
"2015-02-18",63.860001,65.18,62.599998,65.18,362800,65.18
"2015-02-19",65.489998,68,65.25,67.989998,1186700,67.989998
"2015-02-20",72.209999,74,67.900002,68.5,3548000,68.5
"2015-02-23",69.949997,71.400002,68.300003,69.050003,1081300,69.050003
"2015-02-24",67.949997,68.5,66.25,66.349998,1960600,66.349998
"2015-02-25",66.349998,68.080002,66.230003,67.029999,995300,67.029999
"2015-02-26",67.379997,68.839996,67.150002,68.769997,843000,68.769997
"2015-02-27",68.870003,70,68.5,69.209999,728100,69.209999
"2015-03-02",69,69.889999,68.160004,69.07,530600,69.07
"2015-03-03",69,70,68.010002,69.389999,778900,69.389999
"2015-03-04",68.760002,69.18,67.120003,67.419998,623200,67.419998
"2015-03-05",67.669998,69.610001,67.120003,69.279999,703500,69.279999
"2015-03-06",68.5,68.910004,66.940002,67.889999,548700,67.889999
"2015-03-09",68.110001,68.989998,67.690002,68.489998,670000,68.489998
"2015-03-10",67.949997,68.519997,67.792,68.019997,361700,68.019997
"2015-03-11",68.660004,68.989998,67.739998,68.790001,495200,68.790001
"2015-03-12",68.410004,69.629997,67.93,68.93,428800,68.93
"2015-03-13",68.739998,69.440002,68.550003,69.050003,818300,69.050003
"2015-03-16",69,71.699997,68.860001,71.529999,1230100,71.529999
"2015-03-17",71.75,74.230003,71.400002,73.650002,1885200,73.650002
"2015-03-18",74.32,74.440002,72.739998,74.230003,839900,74.230003
"2015-03-19",74,74.519997,72.599998,73.25,851200,73.25
"2015-03-20",73.580002,73.720001,71.400002,71.900002,2589400,71.900002
"2015-03-23",71.879997,73.209999,70.940002,72.650002,540100,72.650002
"2015-03-24",71.290001,71.629997,70.019997,70.120003,1072000,70.120003
"2015-03-25",70.550003,70.75,67.760002,68.720001,705800,68.720001
"2015-03-26",67.389999,69.139999,66.93,68.830002,614300,68.830002
"2015-03-27",68.190002,69.050003,67.519997,67.879997,307700,67.879997
"2015-03-30",68.220001,68.660004,67.099998,68.519997,332300,68.519997
"2015-03-31",68.389999,70.650002,67,70.529999,611300,70.529999
"2015-04-01",69.779999,70.165001,68.190002,69.620003,611200,69.620003
"2015-04-02",67.330002,67.5,65.519997,66.010002,1741700,66.010002
"2015-04-06",66.150002,66.669998,65.275002,65.790001,638400,65.790001
"2015-04-07",66,67.18,65.699997,66.160004,410500,66.160004
"2015-04-08",66.25,66.5,64.800003,66.110001,414300,66.110001
"2015-04-09",65.730003,67.220001,65.25,65.629997,340200,65.629997
"2015-04-10",65.529999,65.730003,64.349998,65.25,547100,65.25
"2015-04-13",65.470001,66.690002,65.43,66.139999,420500,66.139999
"2015-04-14",66,67.25,66,66.32,388300,66.32
"2015-04-15",66.559998,67.790001,66,67.790001,526800,67.790001
"2015-04-16",67.510002,67.675003,65.519997,65.669998,483500,65.669998
"2015-04-17",65.309998,65.690002,64.800003,64.970001,488700,64.970001
"2015-04-20",65.370003,65.685997,63.650002,65.07,534600,65.07
"2015-04-21",65.489998,67.239998,65.480003,65.870003,431700,65.870003
"2015-04-22",65.860001,66.632004,65.220001,66.269997,251400,66.269997
"2015-04-23",66.07,66.900002,65.449997,66.150002,328900,66.150002
"2015-04-24",66.970001,69.459999,65.959999,66.389999,319400,66.389999
"2015-04-27",66.75,66.949997,64.559998,64.599998,394800,64.599998
"2015-04-28",64.82,66.370003,63.66,65.709999,333600,65.709999
"2015-04-29",65.669998,66.139999,64.440002,64.760002,602900,64.760002
"2015-04-30",64.559998,65,63.799999,64.010002,349900,64.010002
"2015-05-01",64.080002,64.839996,63.25,64.709999,279400,64.709999
"2015-05-04",64.239998,65.290001,63.779999,64.650002,311800,64.650002
"2015-05-05",64.660004,65,63.5,63.82,261600,63.82
"2015-05-06",64,64.57,63.16,63.529999,317100,63.529999
"2015-05-07",63.470001,65.550003,63.470001,64.949997,273300,64.949997
"2015-05-08",65.199997,66,65.019997,65.800003,241100,65.800003
"2015-05-11",65.949997,67.769997,65.760002,67.650002,287200,67.650002
"2015-05-12",67.019997,67.458,65.385002,65.849998,783100,65.849998
"2015-05-13",66.199997,66.580002,66.029999,66.309998,459100,66.309998
"2015-05-14",66.989998,69,66.099998,68.910004,1353000,68.910004
"2015-05-15",66.379997,67.400002,64.050003,65.419998,2127000,65.419998
"2015-05-18",65.400002,67.879997,65.125,67.730003,740400,67.730003
"2015-05-19",67.879997,68.470001,67.050003,67.550003,498400,67.550003
"2015-05-20",67.559998,67.919998,66.889999,67.480003,482500,67.480003
"2015-05-21",67.5,68.449997,67.162003,67.910004,511700,67.910004
"2015-05-22",67.879997,68.959999,67.760002,68.870003,457800,68.870003
"2015-05-26",69,69.800003,68.32,68.75,1001000,68.75
"2015-05-27",68.510002,68.970001,67.940002,68.169998,445700,68.169998
"2015-05-28",68.260002,69.400002,68,69.050003,405500,69.050003
"2015-05-29",69.120003,69.910004,68.779999,69.910004,795500,69.910004
"2015-06-01",69.949997,70,69.239998,69.809998,504000,69.809998
"2015-06-02",69.68,71.75,69.129997,71.610001,786900,71.610001
"2015-06-03",72.080002,74.870003,71.751999,74.849998,1717100,74.849998
"2015-06-04",74.559998,74.940002,73.642998,73.989998,679800,73.989998
"2015-06-05",73.599998,77.900002,73.5,77.089996,1422600,77.089996
"2015-06-08",78.150002,79.419998,77.080002,78.730003,1136400,78.730003
"2015-06-09",78.889999,79.809998,78.260002,79.779999,661700,79.779999
"2015-06-10",79.779999,81.489998,78.559998,81.010002,1277700,81.010002
"2015-06-11",81.5,81.714996,79.540001,80.339996,602400,80.339996
"2015-06-12",79.910004,81.699997,78.681999,81.160004,758500,81.160004
"2015-06-15",80.940002,83.949997,80.360001,83.239998,992700,83.239998
"2015-06-16",83.440002,85.839996,83.360001,84.970001,974400,84.970001
"2015-06-17",85.860001,86.629997,84.18,85.720001,878900,85.720001
"2015-06-18",86.160004,87.879997,85.959999,87.07,1070200,87.07
"2015-06-19",87,87.480003,86.120003,86.709999,1158400,86.709999
"2015-06-22",87.110001,88.300003,85.760002,87.68,793200,87.68
"2015-06-23",87.550003,88.309998,86.900002,87.459999,586600,87.459999
"2015-06-24",87.629997,88.559998,85.559998,87.209999,741100,87.209999
"2015-06-25",87.660004,87.660004,85.059998,85.360001,800100,85.360001
"2015-06-26",84.489998,84.830002,81.43,82.239998,2823700,82.239998
"2015-06-29",81,83.269997,80.540001,80.959999,1068000,80.959999
"2015-06-30",82,82.514999,81.32,81.739998,646000,81.739998
"2015-07-01",82.599998,83.5,81.589996,81.839996,599300,81.839996
"2015-07-02",82.190002,83,81.370003,81.860001,511400,81.860001
"2015-07-06",81.519997,82.239998,80.099998,80.82,809800,80.82
"2015-07-07",81,81.931999,76.620003,79.849998,1006300,79.849998
"2015-07-08",79.389999,79.389999,77.010002,77.489998,735500,77.489998
"2015-07-09",78.940002,79.400002,78,78.290001,465200,78.290001
"2015-07-10",79.339996,80.75,78.75,80.529999,397900,80.529999
"2015-07-13",81.190002,81.550003,78.510002,79.470001,492700,79.470001
"2015-07-14",80.290001,82.07,79.5,81.550003,478400,81.550003
"2015-07-15",81.360001,82.849998,81.349998,81.879997,503100,81.879997
"2015-07-16",82.800003,84.610001,82.029999,83.93,782000,83.93
"2015-07-17",84.290001,84.779999,83.800003,84.699997,464900,84.699997
"2015-07-20",85,86.169998,83.480003,84.059998,515600,84.059998
"2015-07-21",84.269997,84.68,83.07,83.580002,350000,83.580002
"2015-07-22",83.029999,85.800003,82.68,85.199997,573600,85.199997
"2015-07-23",85.199997,88.25,83.760002,84.190002,817800,84.190002
"2015-07-24",84.900002,86.695,84.5,84.720001,448400,84.720001
"2015-07-27",85.25,85.25,82.269997,82.739998,349700,82.739998
"2015-07-28",82.959999,83.889999,80.410004,80.75,645600,80.75
"2015-07-29",81.010002,81.919998,79.101997,80.410004,734100,80.410004
"2015-07-30",80.540001,85.050003,79.889999,84.970001,544800,84.970001
"2015-07-31",85.809998,85.830002,83.650002,84.470001,591000,84.470001
"2015-08-03",84.290001,84.709999,83.209999,84.629997,399200,84.629997
"2015-08-04",84.139999,84.529999,82.285004,82.940002,443700,82.940002
"2015-08-05",83.209999,85.599998,83.209999,84.589996,446000,84.589996
"2015-08-06",84.059998,84.877998,81.239998,81.580002,1203000,81.580002
"2015-08-07",82.660004,87.599998,81.68,84.080002,2246300,84.080002
"2015-08-10",84.5,85.5,81.699997,83.519997,792400,83.519997
"2015-08-11",82.790001,83.610001,78.410004,79.519997,793000,79.519997
"2015-08-12",79.120003,80.93,78.013,80.349998,597800,80.349998
"2015-08-13",80.449997,81.970001,80.360001,81.389999,327200,81.389999
"2015-08-14",81.220001,81.989998,79.910004,80.800003,345300,80.800003
"2015-08-17",79.779999,82.57,79.440002,81.980003,334100,81.980003
"2015-08-18",81.989998,81.989998,79.839996,79.879997,400400,79.879997
"2015-08-19",78.32,80.580002,77.690002,79.540001,395500,79.540001
"2015-08-20",79.260002,79.519997,73.989998,74.089996,669300,74.089996
"2015-08-21",72.839996,76.300003,71.25,73.970001,853100,73.970001
"2015-08-24",70.010002,71.620003,63.360001,71.620003,1249900,71.620003
"2015-08-25",73.190002,74.940002,72.010002,72.050003,407100,72.050003
"2015-08-26",73.669998,74.839996,72.5,74.669998,548500,74.669998
"2015-08-27",75.099998,76.580002,74.290001,75.239998,419900,75.239998
