"dates","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2012-04-12",33.25,34.209999,32,34,654700,25.827448
"2012-04-13",34,37.450001,33.91,37,1685000,28.106342
"2012-04-16",37,37,35.990002,36.549999,550200,27.764507
"2012-04-17",36.400002,36.75,36,36,179600,27.34671
"2012-04-18",36,36.439999,34.5,36,207100,27.34671
"2012-04-19",36,37.220001,35.799999,36,598100,27.34671
"2012-04-20",36.099998,37,36.099998,36.32,149700,27.589781
"2012-04-23",36.240002,36.240002,35.419998,35.68,95700,27.103626
"2012-04-24",36,36,34.68,34.75,124500,26.397161
"2012-04-25",34.799999,35.5,34.5,34.75,266200,26.397161
"2012-04-26",34.610001,34.990002,34.439999,34.950001,183900,26.549089
"2012-04-27",35.25,35.25,33.970001,34.110001,536000,25.911007
"2012-04-30",34.34,34.900002,34,34.049999,4105700,25.865425
"2012-05-01",33.740002,34.099998,32.580002,32.759998,6878600,24.8855
"2012-05-02",32.599998,32.669998,31.629999,32,11287600,24.30818
"2012-05-03",31.93,31.98,31.049999,31.389999,11800000,23.84481
"2012-05-04",30.85,31.09,30.120001,30.16,10881000,22.910461
"2012-05-07",30.1,30.549999,29.25,29.35,12257200,22.295162
"2012-05-08",29.09,30.41,28.75,30.1,14601300,22.864883
"2012-05-09",29.809999,32.889999,29.73,32.490002,13990000,24.680405
"2012-05-10",33.049999,33.349998,31.52,32.48,8862000,24.672806
"2012-05-11",31.73,32.150002,31.4,31.83,4460100,24.179043
"2012-05-14",31.190001,31.58,30.77,31.32,6398200,23.791634
"2012-05-15",31.35,32.32,31.059999,31.67,6362800,24.057507
"2012-05-16",31.459999,32.389999,31.25,32.099998,6118600,24.384142
"2012-05-17",31.889999,32,31.200001,31.26,5850500,23.746061
"2012-05-18",31.43,31.690001,30.99,31.379999,7940800,23.837214
"2012-05-21",31.23,32.34,30.950001,32.189999,5480100,24.452509
"2012-05-22",31.879999,32.27,31.33,31.629999,5415000,24.027119
"2012-05-23",31.35,31.49,30.879999,31.41,5268900,23.860004
"2012-05-24",31.42,31.440001,30.75,31.129999,4210400,23.647305
"2012-05-25",31.01,31.41,30.83,31.299999,3217900,23.776442
"2012-05-29",31.280001,31.719999,30.860001,31.01,3979600,23.556147
"2012-05-30",30.790001,30.83,30.18,30.440001,6000600,23.123158
"2012-05-31",30.26,30.35,29.719999,30.030001,8098000,22.811708
"2012-06-01",29.5,30.17,29.379999,29.92,5701700,22.728149
"2012-06-04",29.299999,30.190001,29.25,29.530001,4844900,22.431894
"2012-06-05",29.370001,30.1,29.32,29.9,4046500,22.712961
"2012-06-06",30.030001,32,29.82,31.530001,8609400,23.951155
"2012-06-07",32.07,32.75,31.74,31.83,7694300,24.179043
"2012-06-08",31.66,32.349998,31.51,32.119999,4302100,24.399338
"2012-06-11",32.450001,33.049999,32.23,32.599998,5999000,24.763962
"2012-06-12",32.560001,33.740002,32.490002,33.490002,6809900,25.440035
"2012-06-13",33.27,33.490002,32.540001,32.77,2876200,24.893095
"2012-06-14",32.77,33.639999,32.310001,33.529999,4460000,25.470413
"2012-06-15",33.599998,34.91,33.380001,34.900002,9892400,26.51112
"2012-06-18",34.380001,34.5,33.830002,33.860001,4254400,25.721096
"2012-06-19",34.060001,34.529999,33.73,33.860001,4873500,25.721096
"2012-06-20",33.790001,34.849998,33.48,34.66,4628400,26.328804
"2012-06-21",34.700001,34.759998,33.060001,33.48,3489900,25.432436
"2012-06-22",33.650002,34.709999,33.029999,34.16,4359500,25.948988
"2012-06-25",33.689999,33.689999,32.759998,32.869999,3518600,24.969061
"2012-06-26",32.810001,33.98,32.400002,32.580002,3274700,24.74877
"2012-06-27",32.610001,33.400002,31.42,31.889999,3615600,24.224621
"2012-06-28",31.540001,32.400002,31.290001,32.310001,3115900,24.543667
"2012-06-29",32.779999,33.380001,32.650002,33.240002,4599500,25.250128
"2012-07-02",33.59,34.32,33.369999,34,3868500,25.827448
"2012-07-03",34.02,34.630001,33.830002,34.240002,3647400,26.009754
"2012-07-05",33.830002,34.240002,33.540001,33.799999,2711300,25.675516
"2012-07-06",33.400002,33.68,32.919998,33.369999,1907800,25.348866
"2012-07-09",33.080002,33.759998,32.650002,33.25,2264600,25.257721
"2012-07-10",33.470001,33.470001,32.5,32.68,2972900,24.82473
"2012-07-11",32.66,33.639999,32.349998,33.48,2583000,25.432436
"2012-07-12",33.150002,33.189999,32.549999,33.009998,3505600,25.075415
"2012-07-13",33.610001,35.080002,33.509998,34.939999,4801300,26.541489
"2012-07-16",34.689999,36.119999,34.560001,36.099998,4895700,27.422678
"2012-07-17",36.16,36.799999,35.860001,36.689999,3604100,27.87085
"2012-07-18",36.650002,37.669998,36.59,37.099998,2839200,28.182301
"2012-07-19",36.919998,37,35.5,35.599998,3758600,27.189426
"2012-07-20",35.18,35.439999,34.91,35.32,3290000,26.975574
"2012-07-23",34.790001,35.279999,34.5,35.02,3245900,26.746456
"2012-07-24",35.25,35.419998,34.610001,35.23,2351600,26.906837
"2012-07-25",35.599998,35.889999,34.869999,35.400002,3551300,27.036684
"2012-07-26",35.759998,36.060001,35.59,35.959999,2951300,27.464375
"2012-07-27",36.23,36.91,35.900002,36.52,6158600,27.892075
"2012-07-30",36.860001,37.650002,36.830002,37.650002,2830300,28.755106
"2012-07-31",37.740002,38.360001,37.509998,37.599998,6958400,28.71693
"2012-08-01",39.080002,40.18,37.779999,38.27,6639700,29.228636
"2012-08-02",37.939999,39.07,37.84,38.299999,4434800,29.251539
"2012-08-03",38.599998,39.849998,38.599998,39.669998,4516000,30.297884
"2012-08-06",39.939999,40.349998,39.77,40.07,3405100,30.60338
"2012-08-07",40.389999,40.830002,39.59,39.77,4636800,30.374254
"2012-08-08",39.599998,40.200001,39.459999,40.150002,4002600,30.664482
"2012-08-09",39.900002,40.599998,39.880001,40.32,2888200,30.794315
"2012-08-10",40.259998,40.43,39.75,40,2107700,30.549917
"2012-08-13",39.860001,40.349998,39.77,40.150002,2213500,30.664482
"2012-08-14",40.189999,40.450001,39.799999,39.93,2533900,30.496454
"2012-08-15",40.540001,40.66,39.93,40.360001,4009400,30.824869
"2012-08-16",40.529999,41.259998,40.369999,41.18,3862100,31.451145
"2012-08-17",41.619999,42.93,41.470001,42.77,5536300,32.665489
"2012-08-20",42.869999,43.450001,42.75,43.07,3809500,32.894634
"2012-08-21",43.380001,43.380001,41.490002,41.549999,4469400,31.733732
"2012-08-22",41.360001,41.529999,40.419998,41.48,4384500,31.680271
"2012-08-23",41.48,41.630001,41.049999,41.330002,1996300,31.565706
"2012-08-24",41.150002,41.540001,40.740002,41.360001,2562300,31.588614
"2012-08-27",41.43,42.389999,40.970001,41.07,3779200,31.367125
"2012-08-28",40.900002,42.470001,40.900002,41.959999,3770300,32.04686
"2012-08-29",41.900002,42.389999,41.650002,41.98,2674300,32.06213
"2012-08-30",41.790001,42.700001,41.619999,42.48,2523800,32.444023
"2012-08-31",42.700001,43,41.099998,42,5791200,32.077412
"2012-09-04",42.07,42.450001,41.48,42.41,2620700,32.390541
"2012-09-05",42.490002,42.580002,41.43,41.740002,2881800,31.878826
"2012-09-06",42.16,43.740002,42.16,43.419998,4222200,33.161922
"2012-09-07",43.48,44.310001,43.360001,44.259998,3458100,33.80349
"2012-09-10",43.93,44.849998,43.93,44.540001,4417300,34.017326
"2012-09-11",44.639999,46.099998,44.459999,45.59,6304700,34.819283
"2012-09-12",46.139999,47.41,46.040001,46.279999,5269800,35.346252
"2012-09-13",46.299999,46.849998,45.369999,46.639999,5292000,35.621201
"2012-09-14",47.16,48.220001,46.009998,46.73,6718600,35.689941
"2012-09-17",46.169998,46.970001,46,46.139999,4833400,35.23933
"2012-09-18",45.529999,45.779999,44.439999,45.52,6108200,34.765808
"2012-09-19",45.529999,46.599998,45.509998,45.57,3505400,34.803989
"2012-09-20",45.389999,46.310001,45.169998,45.779999,3233500,34.964378
"2012-09-21",46.040001,47.09,46.040001,46.82,5960500,35.758682
"2012-09-24",46.689999,46.919998,46.259998,46.740002,2453800,35.697571
"2012-09-25",47,47.299999,45.959999,45.98,2912200,35.117123
"2012-09-26",45.689999,46.330002,45.23,45.529999,3626000,34.773445
"2012-09-27",45.799999,46.740002,45.68,46.529999,3180100,35.537189
"2012-09-28",46.43,46.529999,46.02,46.369999,3253700,35.414982
"2012-10-01",46.599998,47.02,46.259998,46.560001,2785500,35.560104
"2012-10-02",46.68,46.959999,46.27,46.419998,2911900,35.453163
"2012-10-03",46.27,46.41,45,45.16,5392000,34.490856
"2012-10-04",45.59,45.66,45.080002,45.389999,6196000,34.666519
"2012-10-05",45.869999,47.68,45.759998,46.02,7658200,35.14769
"2012-10-08",45.959999,46.57,45.560001,45.93,3414600,35.078941
"2012-10-09",46.16,46.75,46.060001,46.09,3667800,35.201138
"2012-10-10",46.02,46.330002,44.689999,45.150002,5564600,34.483215
"2012-10-11",45.380001,45.650002,44.57,44.599998,4600600,34.252823
"2012-10-12",44.330002,44.619999,42.450001,43.919998,6634300,33.730579
"2012-10-15",43.849998,44.43,43.41,44.380001,2722000,34.083858
"2012-10-16",44.77,46.790001,44.599998,46.490002,5742000,35.704353
"2012-10-17",46.549999,47.220001,46.310001,46.650002,2842000,35.827221
"2012-10-18",46.619999,46.630001,45.389999,45.560001,3402300,34.990097
"2012-10-19",45.529999,46.09,44.549999,44.639999,3002400,34.283539
"2012-10-22",44.73,45.73,44.73,45.580002,3421700,35.005463
"2012-10-23",44.91,45.080002,43.93,44.919998,4079100,34.498581
"2012-10-24",45,45.650002,44.66,44.779999,3478700,34.39106
"2012-10-25",45.139999,45.450001,44.549999,45.029999,2903900,34.583057
"2012-10-26",45.57,47.619999,44.82,47.5,6123800,36.480022
"2012-10-31",47.82,48.400002,46.639999,47.16,4791200,36.218899
"2012-11-01",47,47.650002,46.389999,47.380001,4291500,36.387859
"2012-11-02",48.009998,48.150002,46.07,46.209999,2826000,35.489296
"2012-11-05",46.23,47.900002,46.23,47.759998,3024100,36.679707
"2012-11-06",48,51,47.860001,50.040001,8220800,38.430744
"2012-11-07",49.23,50.080002,48.75,49.459999,6708500,37.985302
"2012-11-08",49.34,49.970001,48.939999,49,3699100,37.632027
"2012-11-09",48.110001,48.560001,47.169998,47.41,5424200,36.410912
"2012-11-12",47.43,48.110001,47.279999,47.349998,2699200,36.364822
"2012-11-13",47,47.759998,46.560001,46.860001,3129100,35.988495
"2012-11-14",47.169998,47.459999,45.709999,45.759998,3542400,35.1437
"2012-11-15",45.529999,46.189999,44.939999,45.34,3805000,34.821136
"2012-11-16",45.560001,45.919998,44.950001,45.77,4591900,35.151382
"2012-11-19",46.400002,48.25,46.380001,48.119999,4339700,36.956177
"2012-11-20",48.189999,49.07,47.869999,49.060001,3492900,37.678097
"2012-11-21",49.32,49.650002,48.84,49.389999,3805700,37.931545
"2012-11-23",49.580002,50,49.41,49.82,1698700,38.261787
"2012-11-26",49.549999,49.98,49.07,49.560001,2943300,38.062096
"2012-11-27",49.509998,50.419998,49.009998,50.060001,4638900,38.446098
"2012-11-28",49.66,51.27,49.25,51,5404800,39.168026
"2012-11-29",51.200001,51.66,50.830002,51.560001,3951100,39.598103
"2012-11-30",51.68,52.529999,51.450001,52.369999,5323100,40.220173
"2012-12-03",52.650002,52.759998,51.02,51.560001,5670000,39.598103
"2012-12-04",51.48,52.240002,51.48,51.560001,3726600,39.598103
"2012-12-05",51.450001,51.950001,50.27,50.689999,3332400,38.929935
"2012-12-06",50.689999,51.209999,50.299999,50.970001,3405700,39.144978
"2012-12-07",51.189999,52.75,51.060001,52.34,4854900,40.197144
"2012-12-10",52.209999,54.32,52.200001,53.580002,7741300,41.149456
"2012-12-11",53.720001,53.919998,52.73,53.040001,5205500,40.734737
"2012-12-12",53.330002,53.5,52.939999,53.049999,8427100,40.742428
"2012-12-13",52.599998,52.599998,51.240002,52.209999,7136600,40.097301
"2012-12-14",52,53.540001,51.799999,53.470001,5120800,41.064987
"2012-12-17",53.560001,53.860001,53.18,53.52,4292300,41.103374
"2012-12-18",53.439999,53.700001,53,53.169998,3922800,40.834579
"2012-12-19",53.279999,53.380001,51.84,52.5,6409900,40.320026
"2012-12-20",52.580002,52.720001,51.700001,52.419998,4391700,40.258583
"2012-12-21",51.709999,52.380001,51.330002,52.16,5053600,40.058903
"2012-12-24",52.220001,52.400002,51.900002,51.970001,975200,39.912983
"2012-12-26",52.16,52.619999,51.32,51.360001,2322700,39.444492
"2012-12-27",51.5,51.709999,50.400002,51.560001,2885400,39.598103
"2012-12-28",51.060001,51.5,50.52,50.57,2999100,38.837784
"2012-12-31",50.400002,53.220001,50.400002,53.099998,4233600,40.780823
"2013-01-02",54.25,55.310001,53.23,55.259998,5229900,42.439709
"2013-01-03",55.029999,55.169998,52.869999,53.189999,5291900,40.849941
"2013-01-04",53.119999,53.68,52.290001,53.139999,4161100,40.811543
"2013-01-07",52.48,52.48,50.77,51.360001,6884000,39.444492
"2013-01-08",51.200001,51.779999,51.080002,51.59,3575600,39.62114
"2013-01-09",51.560001,52.150002,51.02,51.32,4429800,39.41378
"2013-01-10",51.639999,51.84,51.220001,51.509998,3403400,39.559704
"2013-01-11",51.279999,51.700001,50.360001,50.580002,4615800,38.845467
"2013-01-14",50.669998,51.419998,50.119999,51.349998,5000100,39.436817
"2013-01-15",51.349998,52.330002,51.200001,52.240002,4499600,40.120335
"2013-01-16",52.130001,54.549999,52.07,54.52,8024800,41.871387
"2013-01-17",54.98,55.830002,54.189999,55.150002,5976600,42.355217
"2013-01-18",55.209999,55.740002,54.580002,55.07,5998800,42.293785
"2013-01-22",55.240002,55.240002,53.919998,54.610001,4462000,41.940495
"2013-01-23",54.720001,56.189999,54.200001,55.52,4293900,42.639389
"2013-01-24",55.5,56.950001,55.369999,56.119999,4702100,43.100185
"2013-01-25",56.5,56.889999,56.110001,56.810001,3612300,43.6301
"2013-01-28",57.09,57.68,56.5,57.09,4055400,43.845139
"2013-01-29",58,60.450001,57.959999,59.880001,8446300,45.987877
"2013-01-30",62.380001,62.91,60.650002,60.759998,7922300,46.663708
"2013-01-31",60.369999,61.049999,59.91,60.57,5450400,46.517792
"2013-02-01",62,63.25,61.220001,62.75,4709200,48.192032
"2013-02-04",62.130001,62.25,61.16,61.220001,3796500,47.016987
"2013-02-05",61.720001,61.98,60.98,61.009998,4578900,46.855701
"2013-02-06",60.790001,62.5,60.709999,61.720001,5068700,47.400997
"2013-02-07",61.880001,63.34,61,63.259998,4392600,48.58371
"2013-02-08",63.41,65.239998,63.220001,64.019997,4745800,49.167385
"2013-02-11",64,64.660004,63.720001,64.18,3097900,49.290268
"2013-02-12",64.620003,64.779999,63.779999,64.43,3702400,49.482258
"2013-02-13",64.5,64.5,63.849998,64.110001,2777100,49.236511
"2013-02-14",63.77,64.919998,63.75,64.830002,3560000,49.789474
"2013-02-15",64.550003,65.379997,63.529999,64.169998,3787800,49.282593
"2013-02-19",63.669998,64.879997,63.66,64.760002,3091700,49.979496
"2013-02-20",64.75,64.949997,62.540001,62.639999,4847000,48.343353
"2013-02-21",62.32,62.919998,61.220001,62.290001,5032600,48.073235
"2013-02-22",62.779999,64.120003,62.509998,64.110001,3049300,49.477844
"2013-02-25",64.489998,64.739998,61.310001,61.34,4294800,47.340057
"2013-02-26",61.48,61.689999,59.939999,61.23,4346900,47.255161
"2013-02-27",61.299999,63.119999,61,62.990002,2581500,48.613468
"2013-02-28",62.860001,64.269997,62,62.959999,4226400,48.590313
"2013-03-01",62.709999,63.93,62.189999,63.900002,3150000,49.315777
"2013-03-04",63.84,65.739998,63.540001,65.68,3758500,50.68951
"2013-03-05",66.040001,66.050003,64.519997,65.769997,3920300,50.758991
"2013-03-06",66,66.970001,65.400002,66.050003,2929700,50.975075
"2013-03-07",65.889999,66.120003,64.790001,65.870003,3429800,50.836143
"2013-03-08",66.080002,66.279999,65.599998,66.029999,4045300,50.959633
"2013-03-11",65.900002,66.080002,63.939999,65.690002,4966800,50.697231
"2013-03-12",65.660004,66.400002,65.209999,66.220001,4134600,51.106266
"2013-03-13",65.879997,66.040001,64.199997,64.550003,4784800,49.817432
"2013-03-14",64.959999,65.449997,64.290001,64.949997,3832700,50.126129
"2013-03-15",64.489998,65.239998,64.110001,64.150002,5979000,49.50872
"2013-03-18",63.32,65.290001,63.009998,65.029999,3643900,50.18787
"2013-03-19",64.879997,66.349998,64.660004,65.410004,4124400,50.48114
"2013-03-20",66,68.440002,65.949997,67.540001,5087500,52.124989
"2013-03-21",67,67.839996,66.110001,66.82,3394800,51.569328
"2013-03-22",66.970001,67.790001,66.839996,67.550003,2650400,52.132725
"2013-03-25",67.940002,68.699997,66.650002,66.860001,3905300,51.600201
"2013-03-26",66.980003,67.410004,66.370003,67.239998,3243600,51.893475
"2013-03-27",67.129997,68.290001,66.459999,68.269997,3920600,52.688377
"2013-03-28",68.379997,70.519997,67.959999,69.970001,6211100,54.000401
"2013-04-01",70,70.190002,68.730003,69.360001,3015200,53.529606
"2013-04-02",70.169998,70.199997,66.709999,66.839996,5679900,51.584755
"2013-04-03",66.839996,66.879997,61.470001,62.459999,14028500,48.204426
"2013-04-04",62.57,63.950001,61.939999,62.389999,6139100,48.15041
"2013-04-05",61.259998,62.970001,60.200001,62.310001,5289600,48.088669
"2013-04-08",62.290001,63.799999,61.900002,63.619999,3969300,49.099686
"2013-04-09",63.950001,65.230003,62.860001,64.660004,4291500,49.902325
"2013-04-10",64.779999,65.209999,63.049999,63.860001,6005500,49.284904
"2013-04-11",63.810001,63.860001,61.810001,62.009998,6204800,47.857136
"2013-04-12",61.369999,61.740002,59.07,60.669998,8305100,46.822968
"2013-04-15",59.18,59.990002,57.080002,57.52,7897200,44.391922
"2013-04-16",58.150002,59.32,57.77,59.279999,5644000,45.750221
"2013-04-17",58.549999,58.790001,57.16,57.990002,4602100,44.754658
"2013-04-18",57.919998,58.540001,56.130001,57.23,4270200,44.168106
"2013-04-19",58.139999,58.139999,56.459999,57.84,5045100,44.638874
"2013-04-22",58.119999,60.34,58.07,59.43,3659300,45.86599
"2013-04-23",59.59,61.419998,59.360001,61.150002,5318500,47.19342
"2013-04-24",61.41,63.049999,61.310001,61.82,4771700,47.71051
"2013-04-25",62.040001,63.09,61.779999,61.900002,4384100,47.772247
"2013-04-26",61.849998,62.080002,61.139999,61.599998,3034700,47.54071
"2013-04-29",61.970001,62.299999,61.48,61.799999,3444900,47.695061
"2013-04-30",61.93,62.200001,60.02,60.950001,5457000,47.03907
"2013-05-01",61.110001,61.939999,59.549999,59.669998,5678600,46.051212
"2013-05-02",60.07,60.68,59.16,60.299999,4212400,46.537422
"2013-05-03",60.799999,62.66,60.490002,62.18,4548900,47.988346
"2013-05-06",62.490002,64.239998,62.32,63.869999,3682400,49.292614
"2013-05-07",64.25,65.339996,64.019997,64.480003,4676600,49.763401
"2013-05-08",64.230003,64.470001,62.849998,63.41,3664300,48.937603
"2013-05-09",63.23,63.27,61.880001,62.130001,3436900,47.949745
"2013-05-10",61.73,62.200001,61,61.380001,5059200,47.370926
"2013-05-13",61.130001,62.279999,60.389999,61.970001,3829500,47.826271
"2013-05-14",62.060001,64.18,62,64.080002,6212800,49.454704
"2013-05-15",63.73,65.480003,63.73,64.949997,5621700,50.126129
"2013-05-16",64.709999,65.410004,63.720001,63.84,3994700,49.508053
"2013-05-17",64.199997,65.919998,64.18,65.459999,5521600,50.764362
"2013-05-20",65.32,66.849998,65.32,65.959999,4531600,51.152107
"2013-05-21",66.099998,66.709999,64.889999,65.419998,4505200,50.733345
"2013-05-22",65.300003,66.620003,64.800003,65.389999,4482700,50.710075
"2013-05-23",64.440002,65.559998,63.900002,65.25,2380300,50.601509
"2013-05-24",64.769997,65.5,63.799999,65.470001,2518400,50.772121
"2013-05-28",66.389999,66.980003,65.919998,66.519997,2792000,51.586391
"2013-05-29",66.209999,67.339996,65.650002,66.839996,3135200,51.834553
"2013-05-30",66.349998,67.110001,65.68,66.769997,2896400,51.780285
"2013-05-31",66.639999,67.889999,66.279999,66.57,3506400,51.625179
"2013-06-03",67.040001,67.089996,64.279999,66.080002,4022900,51.24519
"2013-06-04",65.800003,66.18,64.300003,65.18,2890200,50.547226
"2013-06-05",64.940002,65.349998,63.529999,63.610001,3064900,49.329685
"2013-06-06",63.68,65.150002,63.349998,65,2637300,50.407631
"2013-06-07",65.440002,66.199997,65.18,65.870003,2774600,51.082317
"2013-06-10",65.93,66.389999,65.010002,65.110001,2372500,50.492943
"2013-06-11",64.050003,64.730003,63.700001,63.959999,3202200,49.601109
"2013-06-12",64.879997,65.209999,63.18,63.310001,3967600,49.097034
"2013-06-13",63.09,64.82,62.369999,64.510002,3336300,50.027645
"2013-06-14",64.709999,64.970001,63.77,63.810001,1833900,49.484783
"2013-06-17",64.199997,64.690002,63.98,64.260002,3341200,49.833767
"2013-06-18",64.480003,65,64.25,64.389999,2336900,49.934582
"2013-06-19",64.269997,64.870003,63.509998,63.630001,3341500,49.345184
"2013-06-20",62.580002,62.689999,60.060001,60.389999,5087000,46.832565
"2013-06-21",61.02,61.23,58.060001,59.25,6354700,45.948494
"2013-06-24",58.459999,58.77,56.84,57.189999,4938400,44.35096
"2013-06-25",58.290001,59.709999,58.290001,59.41,3453600,46.072586
"2013-06-26",60.099998,60.959999,59.560001,59.720001,2706600,46.312984
"2013-06-27",60.32,60.41,58.450001,59.220001,3883300,45.925236
"2013-06-28",59.139999,59.75,58.77,58.91,3573800,45.684822
"2013-07-01",59.240002,60.240002,58.669998,58.900002,3486700,45.677071
"2013-07-02",58.849998,59.209999,56.610001,57.080002,4998500,44.265652
"2013-07-03",56.75,57.709999,54.799999,57.68,6190900,44.730965
"2013-07-05",57.84,57.889999,55.41,57.240002,3653200,44.389748
"2013-07-08",57.709999,59.169998,57.639999,58.75,3067800,45.560745
"2013-07-09",59.02,59.369999,58.41,58.509998,3271200,45.374615
"2013-07-10",58.41,58.630001,55.939999,56.09,5874000,43.497906
"2013-07-11",57.049999,57.900002,56.02,57.759998,5355200,44.792999
"2013-07-12",56.900002,59.639999,56.900002,59.09,6108800,45.824406
"2013-07-15",59.450001,59.849998,58.779999,59.23,4202400,45.932983
"2013-07-16",59.209999,59.419998,57.150002,57.639999,6289800,44.699936
"2013-07-17",57.82,58.419998,57.099998,58.040001,3527400,45.010139
"2013-07-18",58.189999,58.279999,56.709999,56.919998,4328100,44.141586
"2013-07-19",57.439999,57.830002,56.720001,57.490002,3960500,44.583614
"2013-07-22",57.880001,58.450001,57.18,57.959999,4093500,44.948101
"2013-07-23",58.470001,59.709999,58.349998,59.490002,3938200,46.134628
"2013-07-24",59.650002,59.650002,57.700001,58.84,4041900,45.63055
"2013-07-25",58.68,59.700001,58.240002,59.419998,4551000,46.080334
"2013-07-26",59.25,59.84,58.709999,59,2603600,45.75462
"2013-07-29",59,59.290001,58.57,58.959999,852400,45.723595
"2013-07-30",59.049999,59.25,57.91,58.470001,4076700,45.343601
"2013-07-31",57.32,61.970001,57.130001,61.5,8186700,47.693375
"2013-08-01",61.869999,61.91,60.32,60.52,3918500,46.933384
"2013-08-02",60.130001,60.130001,58.07,58.41,5612800,45.297085
"2013-08-05",58.279999,58.299999,57.299999,57.799999,4125100,44.824024
"2013-08-06",57.639999,59.150002,57.639999,58.310001,4863300,45.219532
"2013-08-07",58.240002,58.689999,57.560001,57.959999,3824100,44.948101
"2013-08-08",58.02,59.360001,57.900002,59,3254800,45.75462
"2013-08-09",59,59.310001,58.57,58.919998,3178500,45.692589
"2013-08-12",58.439999,58.98,57.720001,58.169998,3295100,45.110966
"2013-08-13",58.389999,59.189999,58,59.09,3180300,45.824406
"2013-08-14",59,59.18,58.380001,58.790001,2358500,45.834549
"2013-08-15",58.27,58.43,57.040001,57.150002,3495300,44.555958
"2013-08-16",56.889999,56.990002,56.07,56.299999,3478700,43.893272
"2013-08-19",56.279999,56.849998,55.25,55.34,3212100,43.144817
"2013-08-20",55.23,57.689999,54.900002,57.009998,3870800,44.446796
"2013-08-21",56.73,58.490002,56.299999,57.950001,3784200,45.179668
"2013-08-22",57.98,58.869999,57.52,58.110001,3009300,45.304398
"2013-08-23",58.450001,59.240002,57.939999,58.110001,2951800,45.304398
"2013-08-26",58.169998,59.09,57.880001,58.130001,2843800,45.32
"2013-08-27",57.709999,58,57.09,57.099998,2979300,44.516972
"2013-08-28",57.200001,58.299999,57.200001,58.029999,2220300,45.242043
"2013-08-29",57.869999,58.470001,57.380001,57.720001,2119000,45.000351
"2013-08-30",57.950001,58.5,56.950001,57.099998,2661100,44.516972
"2013-09-03",57.759998,58.439999,57.330002,58.110001,3045700,45.304398
"2013-09-04",57.919998,59.32,57.580002,59.029999,4079400,46.021664
"2013-09-05",58.68,59.099998,57.790001,57.799999,3849800,45.062717
"2013-09-06",57.91,58.110001,56.900002,57.419998,2800400,44.766445
"2013-09-09",57.07,57.919998,57.02,57.470001,3102600,44.805447
"2013-09-10",57.439999,57.439999,56.68,56.790001,3476500,44.275299
"2013-09-11",56.830002,57.029999,56.060001,56.93,2597300,44.384434
"2013-09-12",56.990002,57.34,56.330002,56.450001,2662700,44.010212
"2013-09-13",56.639999,57.73,56.57,57.130001,2420800,44.540367
"2013-09-16",57.619999,57.700001,56.709999,56.830002,2521900,44.306473
"2013-09-17",56.709999,56.799999,55.810001,56.049999,3885000,43.698368
"2013-09-18",56.049999,57.5,56.02,57.25,3873300,44.63393
"2013-09-19",58.34,59.209999,57.900002,58.150002,4667700,45.335583
"2013-09-20",58.209999,59.299999,57.689999,57.93,4944400,45.164066
"2013-09-23",57.73,57.73,56.900002,57.41,3067700,44.758667
"2013-09-24",57.240002,58.549999,57.029999,57.77,3430500,45.039341
"2013-09-25",57.82,58.549999,57.529999,58.049999,3049500,45.257629
"2013-09-26",58.009998,59,58.009998,58.48,2709400,45.592869
"2013-09-27",58.099998,58.869999,58.099998,58.529999,3027700,45.631851
"2013-09-30",58.009998,58.09,56.880001,57.82,4407300,45.078304
"2013-10-01",57.650002,58.220001,57.189999,57.900002,2600600,45.140675
"2013-10-02",57.59,59.310001,57.330002,59.18,4150400,46.138607
